year,ward_no,ward_name,circle,zone,mean_ndvi
2018,47,NAWABSAHEBKUNTA,10-FALAKNUMA,CHARMINAR ZONE,0.08668221849588705
2018,58,SHASTRIPURAM,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.13404345857712316
2018,54,JAHANUMA,10-FALAKNUMA,CHARMINAR ZONE,0.08642976185747717
2018,48,SHALIBANDA,9-CHARMINAR,CHARMINAR ZONE,0.09273000948803087
2018,53,DOODBOWLI,10-FALAKNUMA,CHARMINAR ZONE,0.10149813123966311
2018,55,RAMNASTPURA,10-FALAKNUMA,CHARMINAR ZONE,0.16078476408521186
2018,43,CHANDRAYANGUTTA,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.13030710482344252
2018,44,UPPUGUDA,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.0898914356359
2018,35,GOWLIPURA,7-SANTOSH NAGAR,CHARMINAR ZONE,0.08639327361368905
2018,30,DABEERPURA,6-MALAKPET,CHARMINAR ZONE,0.10201793744001435
2018,32,PATHER GATTI,9-CHARMINAR,CHARMINAR ZONE,0.08083564702871883
2018,23,GADDIANNARAM,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.09434643507794703
2018,24,SAIDABAD,6-MALAKPET,CHARMINAR ZONE,0.13532372381391838
2018,27,AKBERBAGH,6-MALAKPET,CHARMINAR ZONE,0.13895730304351564
2018,45,JANGAMMET,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.11346546869150703
2018,42,BARKAS,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.19107922443018666
2018,57,SULEMAN NAGAR,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.15097392059548492
2018,74,AHMED NAGAR,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.16864772646614837
2018,92,VENKATESHWARA COLONY,18-JUBILEE HILLS,KHAIRATHABAD ZONE,0.18246675677563343
2018,89,GANDHINAGAR,15-MUSHEERABAD,SECUNDERABAD ZONE,0.11225776347941493
2018,75,RED HILLS,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.13522607367386746
2018,79,HIMAYATNAGAR,16-AMBERPET,SECUNDERABAD ZONE,0.0950752641171105
2018,88,BHOLAKPUR,15-MUSHEERABAD,SECUNDERABAD ZONE,0.0857305665407519
2018,86,MUSHEERABAD,15-MUSHEERABAD,SECUNDERABAD ZONE,0.09792859495899259
2018,85,ADIKMET,15-MUSHEERABAD,SECUNDERABAD ZONE,0.10984513177249423
2018,87,RAMNAGAR,15-MUSHEERABAD,SECUNDERABAD ZONE,0.11568947383211448
2018,90,KAVADIGUDA,15-MUSHEERABAD,SECUNDERABAD ZONE,0.17048249122144557
2018,93,BANJARA HILLS,18-JUBILEE HILLS,KHAIRATHABAD ZONE,0.14519698662407857
2018,91,KHAIRTABAD,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.05174742823682497
2018,103,BORABANDA,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.08039775188205149
2018,97,SOMAJIGUDA,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.12644589680933405
2018,98,AMEERPET,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.13920084130769148
2018,101,ERRAGADDA,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.11726219657591185
2018,100,SANATH NAGAR,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.13123894765510738
2018,99,VENGALRAO NAGAR,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.16914096565358336
2018,102,RAHAMATH NAGAR,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.0917631430854305
2018,6,NACHARAM,1-KAPRA,L.B.NAGAR ZONE,0.16998489990021728
2018,84,BAGH AMBERPET,16-AMBERPET,SECUNDERABAD ZONE,0.13046006956825507
2018,81,NALLAKUNTA,16-AMBERPET,SECUNDERABAD ZONE,0.10488284095840722
2018,80,KACHIGUDA(Barkathpura),16-AMBERPET,SECUNDERABAD ZONE,0.0983087848406542
2018,82,GOLNAKA,16-AMBERPET,SECUNDERABAD ZONE,0.16197004169027546
2018,83,AMBERPET,16-AMBERPET,SECUNDERABAD ZONE,0.17863750028880074
2018,51,GOSHA MAHAL,14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.12737445270770462
2018,68,TOLICHOWKI,13-KARWAN,KHAIRATHABAD ZONE,0.22335524115297917
2018,67,GOLCONDA,13-KARWAN,KHAIRATHABAD ZONE,0.16698862057749175
2018,77,JAMBAGH(Nampally),14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.09347507759330213
2018,63,MANGALHAT,14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.12306394910799669
2018,71,GUDIMALKAPUR,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.13264223250437285
2018,70,MEHDIPATNAM,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.10527793555269786
2018,76,MALLEPALLY,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.08459312781331682
2018,62,ZIAGUDA,13-KARWAN,KHAIRATHABAD ZONE,0.12778265500932234
2018,72,ASIF NAGAR,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.08979217040991803
2018,73,VIJAYANAGAR COLONY,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.11657729913492772
2018,5,MALLAPUR,1-KAPRA,L.B.NAGAR ZONE,0.18939388054224868
2018,3,CHERLAPALLY,1-KAPRA,L.B.NAGAR ZONE,0.20303720084970003
2018,96,YOUSUFGUDA,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.1506236821320919
2018,95,JUBILEE HILLS,18-JUBILEE HILLS,KHAIRATHABAD ZONE,0.19045850173417087
